dep_nom;reg_nom
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
Ain;Auvergne-Rhône-Alpes
